,,,Songinformation,,,,,,GEMS-Dimensionen,,,,,,,,,GEMS-Faktoren,,,,Differenziertheit bei der Bewertung der Songs,,,,,,,,,,,,,,"ICC für Rater*innen, welche per Mail gewonnen wurden",,,,,,"ICC für Rater*innen, welche durch Prolific gewonnen wurden",,,,,,ICC über alle rater*innen hinweg,,,,,
Code,package,Anzahl der Rater*innen,Title,Artist,Featuring,Erscheinungsjahr,Genre,Subgenre,wonder,transcendece,tenderness,nostalgia,peacefulness,sadness,tension,energy,joyful activation,sublimity,vitality,unease,,wond_diff,tran_diff,tend_diff,nost_diff,peac_diff,sadn_diff,tens_diff,ener_diff,joya_diff,sublimity_diff,vitality_diff,unease_diff,mittlere Bekanntheit des Songs bie den Ratern,,ICC_SEL_47_MAIL,ICC_SEL_45_MAIL,ICC_INT_47_MAIL,ICC_INT_45_MAIL,ICC_DIM_MAIL,ICC_FAC_MAIL,ICC_SEL_47_PROLIFIC,ICC_SEL_45_PROLIFIC,ICC_INT_47_PROLIFIC,ICC_INT_45_PROLIFIC,ICC_DIM_PROLIFIC,ICC_FAC_PROLIFIC,ICC_SEL_47_BOTH,ICC_SEL_45_BOTH,ICC_INT_47_BOTH,ICC_INT_45_BOTH,ICC_DIM_BOTH,ICC_FAC_BOTH
P069,18,37,Call Me Maybe,Carly Rae Jepsen,NA,2012,Pop,NA,17.64,1.17,4.32,25.24,9.05,0.00,7.84,17.54,44.86,26.40,39.14,7.25,,0.09,0.01,0.04,0.15,0.05,0.00,0.05,0.10,0.44,0.06,0.29,0.03,4.73,,0.92,0.92,0.92,0.92,0.94,0.95,0.88,0.87,0.87,0.87,0.91,0.89,0.94,0.95,0.94,0.94,0.96,0.96
P070,18,37,In The Air Tonight,Phil Collins,NA,1981,Pop,NA,15.93,11.71,13.31,36.53,21.45,8.49,6.14,10.74,14.83,32.18,18.48,12.42,,0.09,0.08,0.10,0.36,0.20,0.10,0.05,0.07,0.10,0.15,0.09,0.07,4.35,,0.48,0.50,0.49,0.49,0.72,0.85,0.63,0.63,0.62,0.63,0.78,0.84,0.73,0.74,0.72,0.72,0.86,0.90
P071,18,37,Hallelujah,Jeff Buckley,NA,1994,Pop,NA,27.06,22.50,28.03,37.06,32.88,20.98,0.50,2.03,4.45,40.17,5.62,16.04,,0.17,0.13,0.23,0.39,0.29,0.26,0.01,0.02,0.03,0.23,0.03,0.10,4.54,,0.80,0.80,0.78,0.78,0.89,0.97,0.80,0.79,0.79,0.78,0.91,0.96,0.88,0.88,0.87,0.86,0.94,0.98
P072,18,37,Speechless,Oli Brown,NA,2010,Pop,Blues Indie,5.49,2.02,6.63,9.68,13.18,2.85,6.38,12.09,28.69,18.40,27.31,8.02,,0.04,0.01,0.04,0.07,0.11,0.04,0.04,0.07,0.23,0.05,0.16,0.04,1.11,,0.76,0.76,0.74,0.74,0.84,0.86,0.37,0.40,0.42,0.44,0.64,0.64,0.75,0.75,0.73,0.73,0.88,0.89
P073,19,35,My Love,Justin Timberlake,NA,2006,Pop,NA,12.03,8.23,13.73,6.66,12.41,1.24,7.29,16.66,23.01,25.45,25.48,7.80,,0.06,0.04,0.08,0.04,0.07,0.01,0.05,0.10,0.17,0.06,0.14,0.03,2.66,,0.61,0.63,0.58,0.59,0.78,0.84,0.55,0.56,0.55,0.56,0.52,0.78,0.69,0.70,0.67,0.67,0.78,0.89
P074,19,35,Look What You Made Me Do,Taylor Swift,NA,2017,Pop,NA,9.14,7.34,6.62,3.04,3.60,0.00,9.76,23.03,24.63,12.42,28.34,8.98,,0.05,0.04,0.04,0.02,0.02,0.00,0.07,0.17,0.20,0.03,0.18,0.04,3.17,,0.76,0.77,0.75,0.76,0.92,0.92,0.64,0.65,0.61,0.62,0.76,0.89,0.79,0.80,0.76,0.77,0.91,0.92
P075,19,35,Burn,Ellie Goulding,NA,2012,Pop,EDM,12.32,11.55,7.76,8.75,6.74,1.31,3.03,17.14,26.35,21.96,26.48,3.03,,0.07,0.08,0.05,0.07,0.05,0.01,0.02,0.13,0.21,0.06,0.18,0.02,3.91,,0.72,0.74,0.69,0.71,0.83,0.89,0.57,0.58,0.60,0.61,0.71,0.94,0.75,0.76,0.73,0.74,0.85,0.95
P076,19,35,All Around The World,Oasis,NA,1997,Pop,Britpop,13.78,9.34,11.24,22.33,19.18,3.31,2.64,4.94,18.82,31.11,17.26,5.18,,0.07,0.05,0.06,0.21,0.13,0.04,0.02,0.03,0.13,0.10,0.09,0.03,2.40,,0.45,0.46,0.33,0.34,0.76,0.93,0.48,0.48,0.48,0.48,0.68,0.90,0.67,0.67,0.65,0.65,0.83,0.96
P077,20,24,Despacito,Luis Fonsi,ft. Daddy Yankee,2017,Pop,Reggaeton,14.76,7.15,16.16,13.15,3.95,0.00,6.79,15.93,36.33,25.86,34.89,6.10,,0.08,0.05,0.09,0.10,0.03,0.00,0.05,0.10,0.34,0.07,0.23,0.03,4.38,,0.76,0.78,0.71,0.74,0.76,0.86,0.70,0.69,0.69,0.69,0.76,0.86,0.85,0.86,0.84,0.85,0.87,0.93
P078,20,24,Do It Again,Steely Dan,NA,1972,Pop,NA,10.27,4.08,6.05,10.06,10.50,0.00,3.11,10.39,21.98,20.07,21.25,2.85,,0.07,0.03,0.03,0.09,0.08,0.00,0.03,0.08,0.18,0.06,0.13,0.02,1.92,,0.62,0.60,0.66,0.64,0.75,0.83,0.42,0.43,0.41,0.43,0.61,0.83,0.69,0.68,0.67,0.66,0.78,0.92
P079,20,24,Good Vibrations,The Beach Boys,NA,1966,Pop,psychedelic rock,13.81,4.72,7.72,18.41,16.39,2.45,4.15,11.81,28.56,28.41,29.36,5.73,,0.05,0.02,0.04,0.16,0.12,0.03,0.03,0.08,0.23,0.07,0.16,0.03,3.42,,0.59,0.59,0.47,0.48,0.64,0.61,0.66,0.67,0.66,0.67,0.69,0.95,0.72,0.73,0.68,0.69,0.80,0.93
P080,20,24,Someone Like You,Adele,NA,2011,Pop,Soul,14.13,14.44,12.39,23.62,7.75,22.23,4.55,16.03,6.38,27.22,16.41,20.72,,0.10,0.06,0.10,0.22,0.06,0.24,0.03,0.11,0.04,0.10,0.07,0.10,4.29,,0.47,0.48,0.37,0.40,0.32,0.04,0.59,0.58,0.63,0.62,0.68,0.51,0.61,0.60,0.61,0.61,0.64,0.46
P081,21,23,Roses,OutKast,NA,2003,Pop,Hip Hop/Rap,9.53,0.00,3.68,5.05,12.12,0.00,7.10,11.66,27.21,15.51,24.33,6.61,,0.07,0.00,0.04,0.03,0.09,0.00,0.04,0.08,0.27,0.04,0.18,0.03,1.70,,0.60,0.55,0.59,0.56,0.55,0.44,0.71,0.73,0.68,0.70,0.84,0.76,0.80,0.80,0.77,0.78,0.85,0.77
P082,21,24,Salad Days,Mac Demarco,NA,2014,Pop,NA,7.94,4.81,9.83,9.97,22.88,5.75,8.45,2.48,5.87,21.94,5.21,11.36,,0.06,0.03,0.11,0.14,0.26,0.04,0.04,0.02,0.10,0.11,0.06,0.04,1.21,,0.51,0.52,0.43,0.45,0.59,0.80,0.53,0.51,0.61,0.58,0.52,0.65,0.70,0.71,0.70,0.71,0.71,0.82
P083,21,23,The Village,Wrabel,NA,2017,Pop,NA,19.17,13.78,18.16,14.19,20.88,16.86,3.63,5.80,11.78,27.07,12.81,15.33,,0.17,0.13,0.17,0.22,0.25,0.22,0.03,0.08,0.09,0.18,0.08,0.10,2.04,,0.22,0.15,0.08,0.01,-0.04,0.47,0.52,0.55,0.44,0.48,0.36,0.68,0.61,0.62,0.51,0.53,0.51,0.73
P084,21,24,ImmerwiederSommertag,Hey Judeschka!,NA,2017,Pop,Deutsch Pop,11.50,6.68,16.91,12.64,31.36,8.55,0.88,0.50,8.83,30.52,8.28,6.67,,0.06,0.04,0.18,0.17,0.33,0.13,0.01,0.01,0.07,0.15,0.04,0.05,1.08,,0.61,0.63,0.54,0.57,0.63,0.88,0.69,0.70,0.63,0.64,0.82,0.92,0.79,0.80,0.74,0.75,0.86,0.95
P085,22,20,Lush Life,Zara Larsson,NA,2015,Pop,Pop,17.47,2.57,0.45,12.44,7.65,0.00,3.57,12.67,33.95,16.42,32.62,3.35,,0.08,0.01,0.01,0.06,0.07,0.00,0.02,0.08,0.27,0.04,0.18,0.01,2.90,,0.19,0.24,0.05,0.09,0.69,0.42,0.87,0.87,0.85,0.85,0.89,0.96,0.85,0.86,0.83,0.84,0.90,0.93
P086,22,21,Everybody,Backstreet Boys,NA,1997,Pop,NA,18.83,2.53,0.00,25.27,3.36,0.00,5.40,20.66,32.27,27.07,30.71,5.06,,0.09,0.01,0.00,0.14,0.03,0.00,0.03,0.15,0.36,0.05,0.26,0.02,4.10,,0.60,0.63,0.58,0.62,0.78,0.69,0.89,0.89,0.88,0.88,0.91,0.93,0.90,0.90,0.89,0.89,0.92,0.94
P087,22,20,Paris,Chain Smokers,NA,2017,Pop,electronic,16.68,3.94,14.27,21.79,19.06,0.77,3.79,7.14,16.32,28.10,18.79,4.03,,0.08,0.03,0.11,0.16,0.12,0.03,0.03,0.08,0.12,0.10,0.10,0.03,3.10,,0.16,0.15,-0.05,-0.05,-1.27,0.17,0.63,0.63,0.68,0.68,0.72,0.88,0.62,0.62,0.65,0.66,0.72,0.89
P088,22,21,Hide and Seek,Imogen Heap,NA,2005,Pop,NA,8.79,7.06,3.54,16.36,13.28,14.25,8.28,4.00,2.92,18.95,6.36,18.86,,0.07,0.06,0.05,0.20,0.09,0.16,0.07,0.02,0.02,0.09,0.02,0.10,2.05,,-0.06,-0.25,-0.13,-0.22,-0.12,-3.75,0.41,0.41,0.45,0.46,0.63,0.81,0.41,0.36,0.41,0.38,0.44,0.67
P089,23,34,Sex On Fire,Kings of Leon,NA,2009,Pop,Rock,10.96,10.45,10.67,17.27,7.49,2.02,1.40,21.54,35.95,22.39,33.40,2.97,,0.05,0.06,0.07,0.17,0.05,0.02,0.02,0.15,0.31,0.07,0.24,0.02,3.91,,0.82,0.83,0.81,0.81,0.85,0.92,0.74,0.75,0.78,0.79,0.89,0.95,0.87,0.88,0.88,0.88,0.93,0.97
P090,23,34,Paper Planes,M.I.A.,NA,2009,Pop,NA,8.51,4.41,0.51,8.82,3.93,0.00,12.31,14.76,27.91,13.24,28.19,10.97,,0.04,0.03,0.01,0.05,0.05,0.00,0.11,0.11,0.21,0.03,0.16,0.07,3.74,,0.49,0.52,0.47,0.50,0.74,0.59,0.78,0.78,0.81,0.81,0.90,0.89,0.80,0.81,0.81,0.82,0.90,0.86
P091,23,34,Empire,Of Monsters and Men,NA,2015,Pop,Alternative/Indie,13.55,10.51,17.22,12.73,17.96,3.49,2.85,10.41,14.76,26.33,17.65,5.53,,0.09,0.09,0.13,0.13,0.13,0.03,0.04,0.08,0.12,0.11,0.10,0.03,1.32,,0.31,0.18,0.37,0.31,0.47,0.83,0.31,0.31,0.33,0.33,0.59,0.86,0.52,0.46,0.58,0.54,0.67,0.92
P092,23,34,I Want It That Way,Backstreet Boys,NA,1999,Pop,NA,9.53,2.40,5.37,32.68,13.69,1.89,1.59,7.40,35.98,30.85,32.26,2.88,,0.04,0.01,0.04,0.20,0.10,0.02,0.02,0.05,0.29,0.07,0.18,0.02,4.53,,0.80,0.82,0.79,0.80,0.89,0.95,0.86,0.86,0.86,0.86,0.93,0.96,0.90,0.90,0.90,0.90,0.96,0.98
P093,24,43,Lieblingsmensch,Namika,NA,2015,Pop,NA,13.43,6.73,10.55,11.78,15.03,0.00,4.65,5.54,20.93,22.96,21.69,4.15,,0.08,0.03,0.09,0.09,0.10,0.00,0.05,0.04,0.18,0.08,0.11,0.03,2.95,,0.65,0.67,0.64,0.66,0.82,0.75,0.53,0.54,0.43,0.45,0.69,0.94,0.71,0.73,0.67,0.69,0.84,0.94
P094,24,43,Lets Get It On,Marvin Gaye,NA,1973,Pop,NA,13.43,1.49,29.82,14.87,17.40,0.00,1.04,4.03,23.07,30.18,22.35,0.93,,0.08,0.01,0.27,0.13,0.14,0.00,0.01,0.03,0.18,0.12,0.11,0.01,4.14,,0.81,0.81,0.79,0.80,0.91,0.95,0.71,0.70,0.72,0.72,0.85,0.96,0.86,0.86,0.86,0.86,0.94,0.98
P095,24,43,Fireflies,Owl City,NA,2009,Pop,Elektropop,18.88,5.13,5.98,20.64,16.35,0.99,1.83,8.43,21.77,27.37,22.87,1.75,,0.11,0.04,0.06,0.19,0.16,0.01,0.01,0.06,0.17,0.10,0.12,0.01,4.28,,0.75,0.74,0.74,0.74,0.83,0.95,0.79,0.78,0.77,0.77,0.82,0.95,0.86,0.85,0.86,0.85,0.90,0.97
P096,24,43,If You'll Be Mine,Babybird,NA,1998,Pop,NA,12.84,3.84,16.43,12.97,18.78,3.35,4.03,5.28,10.97,24.24,11.41,6.02,,0.07,0.03,0.15,0.13,0.16,0.04,0.04,0.03,0.07,0.10,0.05,0.04,1.51,,0.60,0.61,0.56,0.55,0.76,0.92,0.54,0.55,0.46,0.47,0.61,0.85,0.73,0.73,0.70,0.69,0.84,0.95
P097,25,33,Crazy,Gnarls Barkley,NA,2006,Pop,R&B,14.75,9.97,5.28,11.33,19.87,1.06,7.59,17.46,32.46,25.13,31.40,7.62,,0.08,0.08,0.04,0.11,0.15,0.03,0.07,0.15,0.27,0.09,0.21,0.06,4.18,,0.64,0.66,0.65,0.68,0.83,0.86,0.55,0.56,0.62,0.62,0.77,0.93,0.75,0.76,0.74,0.75,0.89,0.94
P098,25,32,Fuck You,Lily Allen,NA,2009,Pop,NA,14.26,0.78,1.78,12.38,16.06,0.00,7.63,23.28,34.20,22.65,33.50,7.10,,0.07,0.01,0.03,0.07,0.10,0.00,0.05,0.23,0.27,0.05,0.25,0.03,3.09,,0.69,0.71,0.67,0.69,0.86,0.80,0.77,0.77,0.77,0.77,0.88,0.92,0.84,0.85,0.82,0.83,0.93,0.94
P099,25,34,Better On Me,Pitbull,NA,2017,Pop,NA,6.40,5.50,12.27,8.27,17.27,1.80,9.38,11.07,26.68,20.82,24.49,8.66,,0.06,0.04,0.08,0.08,0.15,0.03,0.08,0.05,0.20,0.08,0.13,0.06,1.44,,0.58,0.60,0.63,0.64,0.78,0.25,0.49,0.50,0.52,0.53,0.75,0.89,0.67,0.68,0.70,0.71,0.85,0.84
P100,25,33,Halo,Beyonce,NA,2008,Pop,NA,15.97,13.40,11.09,18.89,12.92,9.28,6.96,22.10,15.09,27.59,24.59,12.34,,0.10,0.11,0.09,0.17,0.10,0.11,0.05,0.19,0.11,0.11,0.15,0.07,4.09,,0.33,0.33,0.24,0.25,-0.10,0.38,0.35,0.36,0.39,0.41,0.14,0.81,0.50,0.49,0.50,0.49,0.45,0.83
P101,26,26,Ex's &Oh's,Elle King,NA,2015,Pop,Rock,18.82,10.05,4.99,14.00,8.29,0.00,5.79,36.10,46.07,22.99,42.58,5.43,,0.09,0.07,0.04,0.11,0.06,0.00,0.03,0.29,0.47,0.07,0.39,0.02,3.81,,0.80,0.81,0.72,0.72,0.86,0.96,0.85,0.84,0.82,0.82,0.95,0.96,0.91,0.91,0.88,0.88,0.96,0.98
P102,26,26,Nothing On You,B.O.B. feat. Bruno Mars,NA,2010,Pop,Rap,22.93,9.52,15.43,18.42,14.73,0.39,2.62,11.30,24.64,28.56,22.38,2.27,,0.11,0.06,0.12,0.14,0.13,0.03,0.04,0.08,0.22,0.11,0.15,0.03,3.85,,0.24,0.21,0.19,0.19,0.27,0.70,0.79,0.79,0.78,0.79,0.83,0.96,0.75,0.75,0.77,0.77,0.82,0.95
P103,26,26,Easy Tonight,Five for fighting,NA,2000,Pop,Alternative/Indie,7.58,12.84,14.98,23.77,16.75,3.86,6.36,8.09,15.69,22.22,16.27,7.39,,0.07,0.08,0.15,0.24,0.14,0.05,0.05,0.05,0.15,0.13,0.10,0.05,1.04,,0.50,0.51,0.36,0.37,0.24,0.30,0.46,0.47,0.48,0.49,0.72,0.87,0.61,0.61,0.60,0.61,0.73,0.83
P104,26,26,Complicated,Avril Lavigne,NA,2002,Pop,NA,10.05,12.76,7.03,39.80,12.49,7.41,3.65,18.56,28.32,31.26,27.38,7.94,,0.08,0.10,0.07,0.34,0.09,0.10,0.03,0.15,0.23,0.13,0.19,0.06,4.19,,0.34,0.37,0.34,0.37,0.53,0.48,0.75,0.74,0.74,0.74,0.92,0.96,0.76,0.77,0.78,0.78,0.90,0.93
P105,27,28,Party In The U.S.A,Miley Cyrus,NA,2009,Pop,NA,21.28,5.60,3.73,14.14,12.85,1.05,6.04,19.14,41.73,25.50,36.35,6.47,,0.08,0.04,0.01,0.10,0.09,0.01,0.04,0.10,0.42,0.06,0.28,0.03,3.36,,0.79,0.81,0.75,0.78,0.83,0.77,0.89,0.89,0.89,0.90,0.91,0.93,0.91,0.91,0.91,0.91,0.92,0.94
P106,27,28,Wouldn't It Be Nice,The Beach Boys,NA,1966,Pop,Rock,25.61,8.83,8.88,26.76,17.57,0.00,2.87,11.06,38.04,31.69,33.56,2.69,,0.13,0.04,0.06,0.21,0.13,0.00,0.01,0.06,0.35,0.11,0.22,0.01,3.39,,0.72,0.73,0.70,0.71,0.79,0.80,0.87,0.86,0.86,0.85,0.90,0.99,0.89,0.89,0.88,0.88,0.92,0.97
P107,27,26,High Hopes,Kodaline,NA,2013,Pop,Indie Rock,16.92,8.21,19.59,29.25,20.45,20.81,2.31,1.98,5.05,29.24,5.61,17.14,,0.07,0.06,0.19,0.32,0.16,0.30,0.01,0.02,0.03,0.15,0.02,0.12,1.62,,0.66,0.68,0.50,0.52,0.69,0.84,0.66,0.65,0.59,0.58,0.79,0.89,0.78,0.79,0.71,0.72,0.86,0.93
P108,27,26,White Flag,Dido,NA,2003,Pop,NA,6.26,11.51,18.72,25.95,26.23,5.92,4.70,2.12,11.01,27.79,10.51,7.27,,0.06,0.07,0.18,0.26,0.24,0.12,0.05,0.04,0.06,0.15,0.05,0.07,3.31,,0.53,0.52,0.53,0.54,0.82,0.80,0.49,0.50,0.51,0.52,0.64,0.87,0.71,0.71,0.72,0.72,0.86,0.92
P109,28,30,Livin On A Prayer,Bon Jovi,NA,1986,Pop,Rock,15.83,8.87,4.20,16.17,5.40,0.00,5.45,31.44,32.50,25.05,37.19,5.07,,0.07,0.05,0.04,0.13,0.03,0.00,0.04,0.33,0.31,0.06,0.32,0.03,4.00,,0.76,0.76,0.76,0.76,0.88,0.95,0.78,0.79,0.78,0.79,0.84,0.91,0.87,0.87,0.87,0.87,0.93,0.97
P110,28,30,Mr Rock & Roll,Amy Macdonald,NA,2007,Pop,"Singer-Songwriter, Folk",10.21,2.18,11.58,16.73,10.64,2.84,3.19,5.05,25.46,18.93,22.50,5.37,,0.08,0.02,0.11,0.19,0.11,0.03,0.03,0.05,0.23,0.10,0.15,0.03,2.63,,0.60,0.55,0.65,0.59,0.87,0.91,0.60,0.61,0.60,0.62,0.69,0.59,0.72,0.72,0.76,0.74,0.89,0.89
P111,28,30,If I Ain't Got You,Alicia Keys,NA,2003,Pop,"R&B, Soul",15.71,12.52,34.97,24.11,26.68,6.35,6.11,8.70,10.74,34.66,12.55,9.58,,0.13,0.11,0.33,0.27,0.26,0.09,0.04,0.07,0.07,0.21,0.07,0.06,3.27,,0.65,0.68,0.62,0.64,0.68,0.84,0.61,0.62,0.61,0.62,0.84,0.95,0.77,0.78,0.76,0.77,0.88,0.95
P112,28,30,Bad Day,Daniel Powter,NA,2005,Pop,NA,15.43,4.84,22.89,28.54,19.85,5.44,0.48,7.78,24.23,32.95,23.43,4.50,,0.08,0.02,0.20,0.27,0.14,0.07,0.01,0.04,0.18,0.13,0.12,0.03,4.37,,0.73,0.75,0.71,0.73,0.86,0.93,0.51,0.52,0.53,0.53,0.62,0.91,0.75,0.76,0.74,0.75,0.88,0.96
P113,29,36,Shes So High,Tal Bachman,NA,1999,Pop,Rock,19.40,3.86,7.74,18.14,7.58,2.36,0.87,8.71,29.90,26.84,27.70,2.65,,0.10,0.02,0.06,0.17,0.05,0.03,0.01,0.06,0.27,0.08,0.17,0.01,3.50,,0.80,0.80,0.79,0.78,0.87,0.96,0.75,0.75,0.72,0.73,0.81,0.92,0.87,0.87,0.87,0.87,0.92,0.97
P114,29,37,Work,Rihanna,NA,2016,Pop,Dancehall,8.03,1.20,5.70,4.24,7.23,0.00,8.24,9.81,21.15,17.17,20.48,7.41,,0.03,0.01,0.04,0.03,0.04,0.00,0.09,0.04,0.16,0.03,0.11,0.06,3.76,,0.72,0.64,0.53,0.51,0.70,-0.39,0.58,0.59,0.59,0.60,0.73,0.78,0.77,0.75,0.71,0.72,0.83,0.79
P115,29,37,Please Forgive me,David Gray,NA,1998,Pop,Singer-Songwriter,10.32,7.05,4.12,9.91,12.42,0.00,5.74,3.96,11.45,20.94,11.99,5.31,,0.07,0.03,0.03,0.10,0.11,0.00,0.04,0.03,0.12,0.07,0.08,0.03,1.78,,0.53,0.54,0.49,0.51,0.71,0.88,0.20,0.19,0.03,0.03,0.20,0.69,0.53,0.51,0.46,0.44,0.68,0.90
P116,29,37,The Only Exception,Paramore,NA,2009,Pop,NA,8.70,5.41,10.74,20.14,15.92,9.36,3.05,3.24,9.78,26.64,10.01,9.18,,0.05,0.02,0.11,0.20,0.11,0.11,0.03,0.02,0.05,0.09,0.03,0.06,2.70,,0.72,0.71,0.66,0.65,0.77,0.93,0.53,0.51,0.56,0.55,0.52,0.83,0.73,0.74,0.71,0.73,0.74,0.92
P117,30,25,Goodnight And Go,Imogen Heap,NA,2005,Pop,NA,8.42,4.12,10.52,4.97,10.60,0.00,8.66,3.36,13.08,16.38,13.56,7.89,,0.07,0.03,0.10,0.06,0.08,0.00,0.08,0.03,0.10,0.07,0.07,0.05,1.28,,0.16,0.13,0.09,0.07,0.61,-0.11,0.34,0.28,0.32,0.28,0.22,0.70,0.43,0.32,0.39,0.31,0.53,0.37
P118,30,25,Do I Wanna Know,Arctic Monkeys,NA,2013,Pop,Britpop,16.22,14.78,4.94,17.03,11.28,1.33,3.62,15.21,15.92,26.01,22.15,4.18,,0.09,0.10,0.06,0.16,0.08,0.04,0.03,0.13,0.13,0.09,0.13,0.04,2.96,,0.49,0.47,0.56,0.55,0.75,0.95,0.19,0.16,0.22,0.21,0.21,0.75,0.33,0.33,0.38,0.37,0.69,0.93
P119,30,25,I Am I Said,Neil Diamond,NA,1971,Pop,NA,9.09,1.68,6.60,10.31,8.77,3.38,1.54,6.65,9.31,15.98,9.88,4.13,,0.06,0.02,0.05,0.14,0.08,0.05,0.01,0.06,0.07,0.07,0.07,0.03,1.72,,0.29,0.22,0.13,0.04,0.12,0.18,0.31,0.24,0.31,0.14,0.12,0.67,0.53,0.43,0.51,0.36,0.36,0.74
P120,30,25,Big Jet Plane,Angus and Julia Stone,NA,2010,Pop,NA,9.47,5.92,13.82,16.03,19.96,5.73,1.87,1.94,7.95,22.90,9.07,6.38,,0.06,0.05,0.10,0.17,0.18,0.07,0.02,0.01,0.05,0.11,0.03,0.04,1.88,,0.58,0.59,0.60,0.62,0.65,0.60,0.55,0.49,0.57,0.53,0.61,0.87,0.71,0.69,0.72,0.70,0.75,0.90
P121,31,21,Budapest,George Ezra,NA,2014,Pop,NA,21.68,10.27,9.29,15.35,23.54,3.48,7.05,5.57,30.02,29.29,26.26,7.04,,0.10,0.06,0.06,0.16,0.19,0.05,0.08,0.05,0.24,0.11,0.15,0.07,3.62,,0.36,0.38,0.44,0.47,0.28,-2.23,0.68,0.68,0.68,0.69,0.77,0.96,0.71,0.72,0.72,0.73,0.80,0.90
P122,31,20,Sexual Healing,Marvin Gaye,NA,1982,Pop,Soul,15.43,5.89,22.38,8.83,15.61,1.73,7.87,11.81,23.53,27.36,21.60,8.65,,0.13,0.03,0.19,0.09,0.11,0.03,0.06,0.06,0.18,0.11,0.13,0.05,3.10,,-0.38,-0.41,-0.32,-0.34,-0.56,-1.00,0.61,0.62,0.64,0.65,0.76,0.90,0.60,0.60,0.61,0.61,0.71,0.81
P123,31,20,Naive,The Kooks,NA,2006,Pop,Indie,16.03,11.66,11.54,24.68,18.97,0.00,2.07,11.59,27.36,29.63,26.23,1.89,,0.10,0.08,0.09,0.19,0.14,0.00,0.03,0.09,0.23,0.11,0.17,0.02,3.00,,0.35,0.33,0.40,0.39,0.53,0.56,0.63,0.63,0.69,0.69,0.76,0.95,0.65,0.65,0.70,0.70,0.82,0.95
P124,31,21,Thinkin Bout You,Frank Ocean,NA,2012,Pop,NA,10.35,3.74,10.46,14.76,18.31,4.89,11.37,0.00,11.57,20.53,10.71,14.43,,0.09,0.03,0.06,0.14,0.20,0.06,0.09,0.00,0.06,0.10,0.03,0.08,2.19,,0.35,0.33,0.28,0.25,0.07,0.50,0.42,0.39,0.46,0.44,0.54,0.10,0.57,0.52,0.59,0.55,0.57,0.26
P125,32,23,I Can't Dance,Genesis,NA,1991,Pop,NA,2.78,4.14,1.96,6.44,6.32,0.00,5.76,13.90,21.69,11.95,20.23,5.27,,0.04,0.04,0.04,0.08,0.05,0.00,0.05,0.10,0.22,0.05,0.16,0.03,2.61,,0.64,0.66,0.58,0.61,0.70,0.47,0.37,0.07,0.51,0.26,0.57,0.64,0.66,0.61,0.72,0.67,0.81,0.77
P126,32,23,I Gotta Feeling,Black Eyed Peas,NA,2009,Pop,NA,22.65,5.87,2.47,20.01,5.45,0.00,7.39,27.75,46.35,26.73,41.64,6.78,,0.12,0.04,0.04,0.13,0.03,0.00,0.06,0.15,0.38,0.07,0.27,0.04,4.57,,0.69,0.72,0.66,0.68,0.72,0.17,0.91,0.91,0.91,0.91,0.95,0.98,0.91,0.91,0.91,0.92,0.94,0.94
P127,32,23,Underneath your clothes,Shakira,NA,2001,Pop,NA,8.19,3.99,16.78,18.19,20.92,3.71,1.23,1.46,11.46,21.99,11.95,3.10,,0.04,0.03,0.13,0.15,0.17,0.10,0.02,0.01,0.06,0.10,0.04,0.05,2.48,,0.48,0.50,0.43,0.43,0.81,0.80,0.32,0.24,0.22,0.14,0.56,0.81,0.56,0.55,0.50,0.50,0.80,0.88
P128,32,23,I Won't Let You Go,James Morrison,NA,2011,Pop,NA,7.41,4.43,18.30,16.83,17.99,5.39,2.77,1.93,8.64,23.67,8.15,6.94,,0.05,0.03,0.17,0.17,0.16,0.06,0.02,0.01,0.06,0.11,0.04,0.03,2.70,,0.42,0.40,0.22,0.24,0.48,-2.08,0.57,0.53,0.53,0.51,0.67,0.94,0.71,0.69,0.63,0.62,0.76,0.89
P129,33,27,What You Don't Do,Lianne La Havas,NA,2015,Pop,NA,11.98,5.29,10.32,2.06,8.79,0.00,5.65,10.19,21.61,20.12,22.11,5.13,,0.09,0.03,0.07,0.03,0.07,0.00,0.04,0.08,0.15,0.06,0.12,0.03,1.22,,0.60,0.61,0.61,0.62,0.71,0.88,0.46,0.46,0.45,0.44,0.62,0.68,0.69,0.68,0.69,0.67,0.78,0.89
P131,33,27,Everytime We Touch,Maggie reilly,NA,1992,Pop,NA,8.20,1.92,15.60,15.73,15.24,2.22,7.07,6.33,11.90,24.10,12.60,8.50,,0.04,0.01,0.17,0.19,0.14,0.03,0.03,0.04,0.09,0.10,0.07,0.03,3.52,,0.56,0.52,0.42,0.42,0.51,0.86,0.52,0.52,0.45,0.44,0.53,0.47,0.69,0.67,0.62,0.60,0.69,0.83
P132,33,27,Lonely,Akon,NA,2004,Pop,NA,13.64,2.14,10.93,24.86,11.95,16.04,1.78,2.00,16.03,26.20,14.70,13.58,,0.06,0.01,0.07,0.28,0.09,0.19,0.03,0.01,0.12,0.09,0.07,0.09,3.82,,0.52,0.53,0.56,0.55,0.75,0.72,0.57,0.58,0.52,0.54,0.62,0.58,0.74,0.75,0.71,0.72,0.83,0.79
